"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Travis Kelce",KC,"3 out of 5 stars","4 out of 5 stars","237.0","0"
"2","Mark Andrews",BAL,"1 out of 5 stars","4 out of 5 stars","226.5","0"
"3","Kyle Pitts",ATL,"3 out of 5 stars","2 out of 5 stars","178.5","0"
"4","Darren Waller",LV,"2 out of 5 stars","2 out of 5 stars","177.0","+1"
"5","George Kittle",SF,"3 out of 5 stars","4 out of 5 stars","166.5","-1"
"6","Dallas Goedert",PHI,"2 out of 5 stars","3 out of 5 stars","163.5","+1"
"7","Dalton Schultz",DAL,"3 out of 5 stars","3 out of 5 stars","145.5","-1"
"8","Zach Ertz",ARI,"3 out of 5 stars","4 out of 5 stars","145.5","+1"
"9","Pat Freiermuth",PIT,"4 out of 5 stars","3 out of 5 stars","136.5","+2"
"10","T.J. Hockenson",DET,"3 out of 5 stars","4 out of 5 stars","130.5","-2"
"11","Gerald Everett",LAC,"4 out of 5 stars","2 out of 5 stars","130.5","+11"
"12","Tyler Higbee",LAR,"3 out of 5 stars","4 out of 5 stars","130.5","+4"
"13","Dawson Knox",BUF,"4 out of 5 stars","4 out of 5 stars","129.0","-3"
"14","Cole Kmet",CHI,"4 out of 5 stars","3 out of 5 stars","127.5","-2"
"15","David Njoku",CLE,"4 out of 5 stars","2 out of 5 stars","121.5","+2"
"16","Hayden Hurst",CIN,"2 out of 5 stars","2 out of 5 stars","121.5","+7"
"17","Irv Smith Jr.",MIN,"3 out of 5 stars","3 out of 5 stars","120.0","+2"
"18","Albert Okwuegbunam",DEN,"2 out of 5 stars","2 out of 5 stars","118.5","+3"
"19","Logan Thomas",WAS,"4 out of 5 stars","2 out of 5 stars","117.0","+5"
"20","Hunter Henry",NE,"4 out of 5 stars","4 out of 5 stars","115.5","-7"
"21","Evan Engram",JAC,"4 out of 5 stars","5 out of 5 stars","115.5","-1"
"22","Mike Gesicki",MIA,"3 out of 5 stars","3 out of 5 stars","112.5","-8"
"23","Tyler Conklin",NYJ,"3 out of 5 stars","4 out of 5 stars","111.0","-"
"24","Robert Tonyan",GB,"2 out of 5 stars","2 out of 5 stars","108.0","-6"
"25","Noah Fant",SEA,"2 out of 5 stars","4 out of 5 stars","96.0","-10"
"26","Brevin Jordan",HOU,"3 out of 5 stars","2 out of 5 stars","90.0","+5"
"27","Austin Hooper",TEN,"5 out of 5 stars","4 out of 5 stars","88.5","-1"
"28","Mo Alie-Cox",IND,"1 out of 5 stars","2 out of 5 stars","79.5","+4"
"29","Jonnu Smith",NE,"4 out of 5 stars","4 out of 5 stars","78.0","-"
"30","Daniel Bellinger",NYG,"4 out of 5 stars","2 out of 5 stars","81.6","-"
"31","Trey McBride",ARI,"3 out of 5 stars","4 out of 5 stars","80.0","-"
"32","Isaiah Likely",BAL,"1 out of 5 stars","4 out of 5 stars","76.8","-5"
"33","Cameron Brate",TB,"3 out of 5 stars","3 out of 5 stars","72.0","-5"
"34","Juwan Johnson",NO,"3 out of 5 stars","5 out of 5 stars","70.5","-"
"35","Harrison Bryant",CLE,"4 out of 5 stars","2 out of 5 stars","69.0","-"
"36","Kyle Rudolph",TB,"3 out of 5 stars","3 out of 5 stars","67.5","-7"
"37","Taysom Hill",NO,"3 out of 5 stars","5 out of 5 stars","67.5","-12"
"38","Greg Dulcich",DEN,"2 out of 5 stars","2 out of 5 stars","70.4","-"
"39","C.J. Uzomah",NYJ,"3 out of 5 stars","4 out of 5 stars","66.0","-9"
"40","Kylen Granson",IND,"1 out of 5 stars","2 out of 5 stars","64.5","-"
"41","Tommy Tremble",CAR,"3 out of 5 stars","2 out of 5 stars","60.0","-"
"42","Dan Arnold",JAC,"4 out of 5 stars","5 out of 5 stars","60.0","-"
"43","Foster Moreau",LV,"2 out of 5 stars","2 out of 5 stars","57.0","-"
"44","Josiah Deguara",GB,"2 out of 5 stars","2 out of 5 stars","54.0","-"
"45","John Bates",WAS,"4 out of 5 stars","2 out of 5 stars","54.0","-"
"46","Adam Trautman",NO,"3 out of 5 stars","5 out of 5 stars","54.0","-"
"47","Donald Parham Jr.",LAC,"4 out of 5 stars","2 out of 5 stars","52.5","-"
"48","Pharaoh Brown",HOU,"3 out of 5 stars","2 out of 5 stars","51.0","-"
"49","Jake Ferguson",DAL,"3 out of 5 stars","3 out of 5 stars","51.2","-"
"50","Jelani Woods",IND,"1 out of 5 stars","2 out of 5 stars","49.6","-"
"51","O.J. Howard",HOU,"3 out of 5 stars","2 out of 5 stars","43.5","-"
"52","Will Dissly",SEA,"2 out of 5 stars","4 out of 5 stars","43.5","-"
"53","Cade Otton",TB,"3 out of 5 stars","3 out of 5 stars","44.8","-"
"54","Anthony Firkser",ATL,"3 out of 5 stars","2 out of 5 stars","42.0","-"
"55","Durham Smythe",MIA,"3 out of 5 stars","3 out of 5 stars","40.5","-"
"56","Jeremy Ruckert",NYJ,"3 out of 5 stars","4 out of 5 stars","40.0","-"
"57","Colby Parkinson",SEA,"2 out of 5 stars","4 out of 5 stars","40.0","-"
"58","Jordan Akins",HOU,"3 out of 5 stars","2 out of 5 stars","36.0","-"
"59","Charlie Kolar",BAL,"1 out of 5 stars","4 out of 5 stars","36.8","-"
"60","Jalen Wydermyer",FA,"-","-","35.2","-"
"61","Chigoziem Okonkwo",TEN,"5 out of 5 stars","4 out of 5 stars","35.2","-"
"62","Cole Turner",WAS,"4 out of 5 stars","2 out of 5 stars","35.2","-"
"63","Nick Vannett",NO,"3 out of 5 stars","5 out of 5 stars","31.5","-"
"64","Derrick Deese Jr.",FA,"-","-","32.0","-"
"65","Hunter Long",MIA,"3 out of 5 stars","3 out of 5 stars","32.0","-"
"66","Ian Thomas",CAR,"3 out of 5 stars","2 out of 5 stars","30.0","-"
"67","Geoff Swaim",TEN,"5 out of 5 stars","4 out of 5 stars","28.5","-"
"68","Zach Gentry",PIT,"4 out of 5 stars","3 out of 5 stars","27.0","-"
"69","Jacob Harris",LAR,"3 out of 5 stars","4 out of 5 stars","28.8","-"
"70","Nick Boyle",BAL,"1 out of 5 stars","4 out of 5 stars","27.0","-"